Month,CPI(1982-84 =1),Nominal,Motor Gasoline Price($/gallon)
January 1976,0.558,0.61,3.28
February 1976,0.559,0.60,3.24
March 1976,0.560,0.59,3.21
April 1976,0.561,0.59,3.19
May 1976,0.564,0.60,3.22
June 1976,0.567,0.62,3.28
July 1976,0.570,0.62,3.30
August 1976,0.573,0.63,3.31
September 1976,0.576,0.63,3.31
October 1976,0.579,0.63,3.28
November 1976,0.581,0.63,3.27
December 1976,0.584,0.63,3.24
January 1977,0.587,0.63,3.23
February 1977,0.593,0.64,3.25
March 1977,0.596,0.64,3.26
April 1977,0.600,0.65,3.28
May 1977,0.602,0.66,3.31
June 1977,0.605,0.67,3.32
July 1977,0.608,0.67,3.32
August 1977,0.611,0.67,3.30
September 1977,0.613,0.67,3.28
October 1977,0.616,0.67,3.26
November 1977,0.620,0.66,3.24
December 1977,0.623,0.67,3.23
January 1978,0.627,0.65,3.12
February 1978,0.630,0.65,3.10
March 1978,0.634,0.65,3.08
April 1978,0.639,0.65,3.07
May 1978,0.645,0.66,3.07
June 1978,0.650,0.66,3.08
July 1978,0.655,0.67,3.11
August 1978,0.659,0.68,3.13
September 1978,0.665,0.69,3.13
October 1978,0.671,0.69,3.11
November 1978,0.675,0.70,3.11
December 1978,0.679,0.71,3.14
January 1979,0.685,0.72,3.16
February 1979,0.692,0.73,3.19
March 1979,0.699,0.76,3.26
April 1979,0.706,0.80,3.43
May 1979,0.714,0.84,3.57
June 1979,0.722,0.90,3.77
July 1979,0.730,0.95,3.93
August 1979,0.737,0.99,4.05
September 1979,0.744,1.02,4.14
October 1979,0.752,1.03,4.13
November 1979,0.760,1.04,4.14
December 1979,0.769,1.07,4.19
January 1980,0.780,1.13,4.38
February 1980,0.790,1.21,4.62
March 1980,0.801,1.25,4.72
April 1980,0.809,1.26,4.72
May 1980,0.817,1.27,4.68
June 1980,0.825,1.27,4.65
July 1980,0.826,1.27,4.65
August 1980,0.832,1.27,4.60
September 1980,0.839,1.26,4.53
October 1980,0.847,1.25,4.46
November 1980,0.856,1.25,4.41
December 1980,0.864,1.26,4.40
January 1981,0.872,1.30,4.50
February 1981,0.880,1.38,4.75
March 1981,0.886,1.42,4.83
April 1981,0.891,1.41,4.79
May 1981,0.897,1.40,4.72
June 1981,0.905,1.39,4.65
July 1981,0.915,1.38,4.56
August 1981,0.922,1.38,4.51
September 1981,0.931,1.38,4.47
October 1981,0.934,1.37,4.44
November 1981,0.938,1.37,4.41
December 1981,0.941,1.37,4.38
January 1982,0.944,1.31,4.20
February 1982,0.947,1.29,4.12
March 1982,0.947,1.25,3.98
April 1982,0.950,1.20,3.81
May 1982,0.959,1.21,3.81
June 1982,0.970,1.28,3.98
July 1982,0.975,1.30,4.02
August 1982,0.977,1.29,3.99
September 1982,0.977,1.27,3.93
October 1982,0.981,1.26,3.87
November 1982,0.980,1.24,3.83
December 1982,0.977,1.21,3.75
January 1983,0.979,1.18,3.66
February 1983,0.980,1.14,3.53
March 1983,0.981,1.12,3.44
April 1983,0.988,1.19,3.63
May 1983,0.992,1.23,3.75
June 1983,0.994,1.24,3.78
July 1983,0.998,1.25,3.79
August 1983,1.001,1.25,3.78
September 1983,1.004,1.24,3.72
October 1983,1.008,1.22,3.65
November 1983,1.011,1.20,3.59
December 1983,1.014,1.18,3.53
January 1984,1.021,1.17,3.47
February 1984,1.026,1.17,3.44
March 1984,1.029,1.17,3.45
April 1984,1.033,1.20,3.51
May 1984,1.035,1.21,3.52
June 1984,1.037,1.20,3.49
July 1984,1.041,1.18,3.42
August 1984,1.044,1.16,3.37
September 1984,1.047,1.17,3.37
October 1984,1.051,1.17,3.37
November 1984,1.053,1.17,3.35
December 1984,1.055,1.15,3.29
January 1985,1.057,1.10,3.15
February 1985,1.063,1.09,3.09
March 1985,1.068,1.12,3.18
April 1985,1.070,1.18,3.33
May 1985,1.072,1.20,3.39
June 1985,1.075,1.21,3.40
July 1985,1.077,1.21,3.39
August 1985,1.079,1.20,3.35
September 1985,1.081,1.18,3.30
October 1985,1.085,1.17,3.25
November 1985,1.090,1.17,3.23
December 1985,1.095,1.16,3.21
January 1986,1.099,1.15,3.16
February 1986,1.097,1.08,2.97
March 1986,1.091,0.94,2.61
April 1986,1.087,0.86,2.39
May 1986,1.090,0.89,2.48
June 1986,1.094,0.92,2.55
July 1986,1.095,0.85,2.36
August 1986,1.096,0.81,2.23
September 1986,1.100,0.82,2.26
October 1986,1.102,0.79,2.17
November 1986,1.104,0.78,2.13
December 1986,1.108,0.78,2.12
January 1987,1.114,0.82,2.21
February 1987,1.118,0.86,2.33
March 1987,1.122,0.87,2.36
April 1987,1.127,0.91,2.43
May 1987,1.130,0.91,2.44
June 1987,1.135,0.92,2.46
July 1987,1.138,0.94,2.48
August 1987,1.143,0.96,2.54
September 1987,1.147,0.95,2.51
October 1987,1.150,0.94,2.47
November 1987,1.154,0.93,2.45
December 1987,1.156,0.91,2.39
January 1988,1.160,0.89,2.31
February 1988,1.162,0.87,2.26
March 1988,1.165,0.87,2.25
April 1988,1.172,0.90,2.32
May 1988,1.175,0.93,2.38
June 1988,1.180,0.92,2.36
July 1988,1.185,0.93,2.38
August 1988,1.190,0.95,2.42
September 1988,1.195,0.94,2.37
October 1988,1.199,0.92,2.32
November 1988,1.203,0.91,2.28
December 1988,1.207,0.88,2.21
January 1989,1.212,0.87,2.18
February 1989,1.216,0.88,2.19
March 1989,1.222,0.90,2.23
April 1989,1.231,1.04,2.55
May 1989,1.237,1.09,2.66
June 1989,1.241,1.08,2.63
July 1989,1.245,1.06,2.57
August 1989,1.245,1.02,2.48
September 1989,1.248,0.99,2.40
October 1989,1.254,0.99,2.38
November 1989,1.259,0.96,2.30
December 1989,1.263,0.93,2.23
January 1990,1.275,1.00,2.36
February 1990,1.280,0.99,2.35
March 1990,1.286,0.99,2.32
April 1990,1.289,1.02,2.38
May 1990,1.291,1.03,2.41
June 1990,1.299,1.06,2.46
July 1990,1.305,1.05,2.43
August 1990,1.316,1.16,2.66
September 1990,1.325,1.26,2.87
October 1990,1.334,1.34,3.04
November 1990,1.337,1.34,3.02
December 1990,1.342,1.31,2.95
January 1991,1.347,1.18,2.65
February 1991,1.348,1.09,2.45
March 1991,1.348,1.04,2.33
April 1991,1.351,1.08,2.41
May 1991,1.356,1.13,2.51
June 1991,1.360,1.13,2.51
July 1991,1.362,1.10,2.43
August 1991,1.366,1.11,2.47
September 1991,1.370,1.11,2.45
October 1991,1.372,1.09,2.40
November 1991,1.378,1.10,2.41
December 1991,1.382,1.08,2.35
January 1992,1.383,1.02,2.23
February 1992,1.386,1.01,2.19
March 1992,1.391,1.01,2.20
April 1992,1.394,1.05,2.28
May 1992,1.397,1.11,2.40
June 1992,1.401,1.14,2.47
July 1992,1.405,1.14,2.44
August 1992,1.408,1.12,2.41
September 1992,1.411,1.12,2.40
